Distrito,Causa_Morte,Ano,Obitos
Distrito de Beja,Tuberculose,2013,3
Distrito de Beja,Tumores malignos,2013,482
Distrito de Beja,Diabetes,2014,89
Distrito de Beja,Doenças do aparelho circulatório,2014,679
Distrito de Beja,Doenças do aparelho digestivo,2014,76
Distrito de Beja,Doenças do aparelho respiratório,2014,229
Distrito de Beja,SIDA,2014,1
Distrito de Beja,Suicídio,2014,32
Distrito de Beja,Tuberculose,2014,0
Distrito de Beja,Tumores malignos,2014,468
Distrito de Beja,Diabetes,2015,111
Distrito de Beja,Doenças do aparelho circulatório,2015,786
Distrito de Beja,Doenças do aparelho digestivo,2015,101
Distrito de Beja,Doenças do aparelho respiratório,2015,294
Distrito de Beja,SIDA,2015,1
Distrito de Beja,Suicídio,2015,41
Distrito de Beja,Tuberculose,2015,4
Distrito de Beja,Tumores malignos,2015,476
Distrito de Beja,Diabetes,2016,101
Distrito de Beja,Doenças do aparelho circulatório,2016,729
Distrito de Beja,Doenças do aparelho digestivo,2016,103
Distrito de Beja,Doenças do aparelho respiratório,2016,281
Distrito de Beja,SIDA,2016,2
Distrito de Beja,Suicídio,2016,33
Distrito de Beja,Tuberculose,2016,2
Distrito de Beja,Tumores malignos,2016,473
Distrito de Beja,Diabetes,2017,100
Distrito de Beja,Doenças do aparelho circulatório,2017,705
Distrito de Beja,Doenças do aparelho digestivo,2017,94
Distrito de Beja,Doenças do aparelho respiratório,2017,260
Distrito de Beja,SIDA,2017,3
Distrito de Beja,Suicídio,2017,25
Distrito de Beja,Tuberculose,2017,1
Distrito de Beja,Tumores malignos,2017,473
Distrito de Beja,Diabetes,2018,110
Distrito de Beja,Doenças do aparelho circulatório,2018,737
Distrito de Beja,Doenças do aparelho digestivo,2018,106
Distrito de Beja,Doenças do aparelho respiratório,2018,257
Distrito de Beja,SIDA,2018,1
Distrito de Beja,Suicídio,2018,22
Distrito de Beja,Tuberculose,2018,6
Distrito de Beja,Tumores malignos,2018,469
Distrito de Beja,Diabetes,2019,77
Distrito de Beja,Doenças do aparelho circulatório,2019,786
Distrito de Beja,Doenças do aparelho digestivo,2019,88
Distrito de Beja,Doenças do aparelho respiratório,2019,221
