"Territórios","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Guarda",43811,43810,43731,43636,43558,43446,43293,43137,42970,42748,42716,42621,42229,41854,41521,41194,40894,40640,40469,40362,40218,40015,39952,40029
"Manteigas",4071,4016,3968,3916,3850,3773,3705,3639,3563,3484,3446,3414,3350,3280,3217,3161,3109,3064,3028,2996,2965,2942,2935,2945
"Mêda",6197,6125,6031,5911,5811,5710,5591,5479,5378,5275,5120,4987,4925,4864,4801,4744,4702,4657,4625,4619,4614,4593,4574,4583
"Pinhel",10911,10823,10711,10576,10454,10329,10188,10036,9882,9726,9513,9289,9132,8995,8866,8736,8614,8505,8396,8255,8086,7950,7873,7833
"Sabugal",14799,14655,14453,14212,13963,13704,13458,13210,12958,12713,12617,12554,12360,12158,11965,11786,11618,11451,11345,11356,11372,11282,11240,11280
"Seia",28014,27758,27436,27090,26751,26395,26035,25662,25285,24930,24838,24701,24269,23851,23482,23121,22763,22428,22123,21938,21798,21575,21441,21426
"Trancoso",10846,10785,10689,10583,10484,10382,10273,10175,10090,9986,9863,9699,9493,9297,9127,8973,8814,8667,8553,8488,8433,8343,8301,8358
"Alcobaça",55453,55791,56072,56251,56409,56546,56664,56762,56833,56839,56834,56603,56116,55669,55320,55022,54720,54474,54469,54927,55511,56037,56849,57666
"Alenquer",39331,39858,40337,40744,41121,41514,41937,42348,42744,43123,43377,43356,43158,43021,43004,43061,43145,43261,43537,44220,45298,46408,47619,48897
"Arruda dos Vinhos",10480,10788,11084,11387,11707,12026,12342,12644,12943,13246,13460,13511,13484,13467,13483,13537,13591,13624,13719,13940,14255,14671,15116,15537
"Bombarral",13324,13349,13357,13359,13360,13377,13375,13328,13291,13248,13203,13143,13006,12849,12724,12622,12537,12474,12450,12648,13038,13391,13770,14131
"Cadaval",13977,14025,14037,14066,14092,14112,14155,14191,14225,14257,14286,14214,14031,13847,13700,13577,13443,13311,13234,13360,13670,13954,14252,14573
